"Name","Brand","Colour","Body","Top","Neck","Fretboard","Frets","Scale","Pickups","Tremolo","Bag","Case","Price"
"Jackson JS32 Q Dinky DKA AH DSB","Jackson","Sunburst","Poplar","Maple","Maple","Amaranth","24","648 mm","HH","FR-Style","No","No","€ 366"
"Harley Benton R-456FR BK Progressive Series","Harley Benton","Black","Basswood","None","Maple","Blackwood","24","648 mm","HH","FR-Style","No","No","€ 179"
"Harley Benton ST-20HSS CA Standard Series","Harley Benton","Red","Basswood","None","Maple","Roseacer","22","648 mm","HSS","Vintage","No","No","€ 89"
"Harley Benton CST-24T Emerald Flame","Harley Benton","Green","Mahogany","Maple","Mahogany","Roseacer","24","635 mm","HH","Vintage","No","No","€ 249"
"Fender Vintera 50s Strat Mod MN DBL","Fender","Blue","Alder","None","Maple","Maple","21","648 mm","SSS","Vintage","Yes","No","€ 990"
"Ibanez GRG121DX-WNF Bundle","Ibanez","Brown","Mahogany","None","Maple","Pinewood","24","648 mm","HH","None","Yes","No","€ 205"
"Harley Benton CST-24 BK","Harley Benton","Black","Mahogany","Maple","Mahogany","Jatoba","24","635 mm","HH","None","No","No","€ 225"
"Harley Benton ST-62 BK Vintage Series","Harley Benton","black","Basswood","None","Maple","Pau Ferro","22","648 mm","SSS","Vintage","No","No","€ 129"
"Fender Vintera 50s Strat Mod MN 2-SB","Fender","Sunburst","Alder","None","Maple","Maple","21","648 mm","SSS","Vintage","Yes","No","€ 990"
"Fender Player Ser Strat HSS PT MN ACB","Fender","Sunburst","Alder","Maple","Maple","Maple","22","648 mm","HSS","Standard","No","No","€ 839"
"Harley Benton ST-20 BK Standard Series","Harley Benton","black","Basswood","None","Maple","Roseacer","22","648 mm","SSS","Vintage","No","No","€ 79"
"Harley Benton ST-70 Black Paisley","Harley Benton","Graphic","Basswood","None","Maple","Amaranth","21","648 mm","HSS","Wilkinson","No","No","€ 179"
"Fender SQ CV 70s Strat HSS LRL WAL","Fender","Walnut","Poplar","None","Maple","Laurel","21","648 mm","HSS","Standard","No","No","€ 388"
"Solar Guitars S1.6 HLB","Solar Guitars","Green","Mahogany","Poplar Burl","Maple, Jatoba","Ebony","24","647 mm","HH","None","No","No","€ 999"
"Fender AM Acoustasonic Strat BK","Fender","Black","Mahogany","Sitka, massive","Mahogany","Ebony","22","648 mm","Miscellaneous","None","Yes","No","€ 1.768"
"Harley Benton CST-24T P90 Ocean Flame","Harley Benton","Blue","Mahogany","Maple","Mahogany","Jatoba","24","635 mm","P90, P90","Wilkinson","No","No","€ 249"
"Fender Boxer Stratocaster SHM","Fender","Green","Basswood","None","Maple","Rosewood","22","648 mm","HH","Standard","Yes","No","€ 1.259"
"Charvel Pro-Mod DK24 HH 2PT CM MBF","Charvel","Blue","Alder","None","Maple","Maple","24","648 mm","HH","Standard","No","No","€ 911"
"Solar Guitars S1.6 PP","Solar Guitars","Purple","Mahogany","Maple, Jatoba","Ebony","24","648 mm","HH","None","No","No","€ 1.199"
